#{"t_start": 1649128181.145049, "env_id": "CartPole-v1"}
r,l,t
18.0,18,201.765556
10.0,10,202.262545
12.0,12,202.809899
11.0,11,203.345387
29.0,29,204.630608
11.0,11,205.247683
24.0,24,206.433622
30.0,30,207.80064
10.0,10,208.425812
34.0,34,210.472886
23.0,23,211.83265
14.0,14,212.53501
14.0,14,213.326407
12.0,12,213.852479
18.0,18,214.592074
13.0,13,215.599739
21.0,21,216.531671
11.0,11,217.104812
8.0,8,217.454703
15.0,15,218.0903
20.0,20,219.089163
16.0,16,219.930126
12.0,12,220.736238
15.0,15,221.733804
16.0,16,222.704778
15.0,15,223.449252
40.0,40,225.302927
12.0,12,225.851604
33.0,33,227.355239
11.0,11,227.926553
14.0,14,228.480523
12.0,12,229.01927
11.0,11,229.55958
10.0,10,230.084038
12.0,12,230.680569
15.0,15,231.264644
13.0,13,232.192772
16.0,16,232.901521
17.0,17,233.662423
14.0,14,234.3672
11.0,11,234.930855
22.0,22,235.987119
11.0,11,236.336654
18.0,18,237.240184
17.0,17,238.005094
15.0,15,238.720307
22.0,22,239.620557
13.0,13,240.386913
15.0,15,241.11925
25.0,25,242.651919
11.0,11,243.056901
13.0,13,243.794118
13.0,13,244.317509
18.0,18,245.144939
14.0,14,245.861464
12.0,12,246.488773
18.0,18,247.404839
14.0,14,248.23114
11.0,11,248.801395
13.0,13,249.67804
12.0,12,250.31869
13.0,13,250.93399
10.0,10,251.529655
11.0,11,251.876972
12.0,12,252.404693
14.0,14,253.168798
12.0,12,253.702263
12.0,12,254.313589
10.0,10,254.715133
9.0,9,255.558391
9.0,9,255.899548
25.0,25,256.942564
14.0,14,257.834882
13.0,13,258.439708
9.0,9,258.794201
14.0,14,259.485944
17.0,17,260.1932
16.0,16,261.100536
12.0,12,261.717941
12.0,12,262.27058
18.0,18,262.96283
14.0,14,263.7117
11.0,11,264.265927
29.0,29,265.457464
9.0,9,265.806767
11.0,11,266.567446
14.0,14,267.360786
21.0,21,268.553824
19.0,19,269.353664
16.0,16,270.434922
14.0,14,271.198466
19.0,19,272.195424
9.0,9,272.630646
16.0,16,273.711451
13.0,13,274.343563
12.0,12,275.000127
